State name,"# Policies as 
of Aug 2019",total 2018 CS exams,number female 2018 exams ,Year
Alaska,2,115,29,2018
Alabama,6,2017,642,2018
Arkansas,9,1261,390,2018
Arizona,4,1108,267,2018
California,5,24612,7437,2018
Colorado,4,1919,466,2018
Connecticut,5,2370,672,2018
District of Columbia,2,364,124,2018
Delaware,3,394,87,2018
Florida,6,10617,2974,2018
Georgia,8,4952,1316,2018
Hawaii,7,457,132,2018
Iowa,6,403,76,2018
Idaho,9,278,59,2018
Illinois,3,6210,1580,2018
Indiana,9,1743,384,2018
Kansas,1,146,16,2018
Kentucky,4,1337,375,2018
Louisiana,3,536,151,2018
Massachusetts,6,4181,1119,2018
Maryland,9,5567,1833,2018
Maine,0,344,79,2018
Michigan,3,2931,762,2018
Minnesota,1,1480,304,2018
Missouri,4,803,171,2018
Mississippi,5,191,65,2018
Montana,3,40,7,2018
North Carolina,5,3229,882,2018
North Dakota,3,69,6,2018
Nebraska,1,237,33,2018
New Hampshire,6,416,111,2018
New Jersey,5,6617,1856,2018
New Mexico,3,203,44,2018
Nevada,9,877,292,2018
New York,3,10372,3601,2018
Ohio,6,2739,621,2018
Oklahoma,4,522,109,2018
Oregon,1,762,184,2018
Pennsylvania,5,4010,925,2018
Rhode Island,4,528,147,2018
South Carolina,6,1045,301,2018
South Dakota,1,19,4,2018
Tennessee,2,1274,389,2018
Texas,5,11306,3044,2018
Utah,7,376,87,2018
Virginia,7,5005,1341,2018
Vermont,3,129,16,2018
Washington,8,3002,817,2018
Wisconsin,4,1498,294,2018
West Virginia,4,255,78,2018
Wyoming,6,38,10,2018
